Kód,Název ZSJ,Kód katastrálního území,Název katastrálního území,Kód Obce,Název Obce,Kód Okresu,Název Okresu
19,Abertamy,600016,Abertamy,554979,Abertamy,3403,Karlovy Vary
133728,Adámky,733750,Prostřední Bečva,544698,Prostřední Bečva,3810,Vsetín
35,Adamov,600032,Adamov u Českých Budějovic,535826,Adamov,3301,České Budějovice
63401,Adamov,663409,Adamov u Karlovic,597481,Karlovice,3801,Bruntál
171476,Adamov,771473,Adamov u Tupadel,531367,Adamov,3205,Kutná Hora
6548,Adamov,606553,Bohuslavice nad Úpou,579025,Trutnov,3610,Trutnov
322946,Adamov-sever,600032,Adamov u Českých Budějovic,535826,Adamov,3301,České Budějovice
43,Adamov-střed,600041,Adamov,581291,Adamov,3701,Blansko
322512,Adolfov,765724,Telnice,568295,Telnice,3510,Ústí nad Labem
1759,Adolfovice,601756,Adolfovice,523917,Bělá pod Pradědem,3811,Jeseník
91006,Ahníkov,691003,Ahníkov,563200,Málkov,3503,Chomutov
11151,Akátky,611115,Židenice,582786,Brno,3702,Brno-město
102911,Alberovice,702919,Alberovice,530093,Loket,3201,Benešov
127183,Albertov,727181,Nové Město,554782,Praha,,
163368,Albertovec,763390,Štěpánkovice,510483,Štěpánkovice,3806,Opava
78,Albeř,600075,Albeř,546798,Nová Bystřice,3303,Jindřichův Hradec
317926,Albeřice,917923,Albeřice u Hradiště,555711,Verušičky,3403,Karlovy Vary
86,Albrechtice,600083,Albrechtice,551015,Drahonice,3307,Strakonice
124,Albrechtice,600121,Albrechtice u Českého Těšína,598925,Albrechtice,3803,Karviná
116,Albrechtice,600113,Albrechtice u Lanškrouna,547981,Albrechtice,3611,Ústí nad Orlicí
94,Albrechtice,600091,Albrechtice u Mostu,567175,Horní Jiřetín,3508,Most
142409,Albrechtice,742406,Albrechtice u Rozsoch,596647,Rozsochy,3714,Žďár nad Sázavou
159697,Albrechtice,759694,Albrechtice u Sušice,557153,Sušice,3404,Klatovy
119130,Albrechtice,719161,Kamení,564303,Pěnčín,3505,Liberec
197858,Albrechtice,690856,Polánka u Malešova,534188,Malešov,3205,Kutná Hora
175,Albrechtice nad Orlicí,600172,Albrechtice nad Orlicí,576077,Albrechtice nad Orlicí,3607,Rychnov nad Kněžnou
221,Albrechtice nad Vltavou,600229,Albrechtice nad Vltavou,549258,Albrechtice nad Vltavou,3305,Písek
25984,Albrechtice u Frýdlantu,625981,Albrechtice u Frýdlantu,564028,Frýdlant,3505,Liberec
14982,Albrechtice u Rýmařova,614980,Albrechtice u Rýmařova,597228,Břidličná,3801,Bruntál
281,Albrechtice v Jizerských horách,600288,Albrechtice v Jizerských horách,563528,Albrechtice v Jizerských horách,3504,Jablonec nad Nisou
302,Albrechtičky,600300,Albrechtičky,568741,Albrechtičky,3804,Nový Jičín
189103,Albrechtovice,789101,Albrechtovice,550680,Záblatí,3306,Prachatice
3999,Aleje,604003,Bílá Třemešná,579068,Bílá Třemešná,3610,Trutnov
318035,Aleje-Zátiší,634646,Františkovy Lázně,554529,Františkovy Lázně,3402,Cheb
61123,Alenina Lhota,661139,Cunkov,552534,Jistebnice,3308,Tábor
163601,Aleš,763578,Lhota u Šternberka,505188,Šternberk,3805,Olomouc
55824,Alexovice,655821,Alexovice,583120,Ivančice,3703,Brno-venkov
325121,Alexovice,769703,Třebětice,589098,Třebětice,3708,Kroměříž
318787,Aloisina výšina,682390,Starý Harcov,563889,Liberec,3505,Liberec
131229,Aloisov,731226,Kyje,554782,Praha,,
310026,Aloisov,743518,Rumburk,562777,Rumburk,3502,Děčín
174700,Alojzov,774707,Alojzov u Prostějova,506761,Alojzov,3709,Prostějov
6211,Alojzov,606227,Dolní Bohdíkov,525804,Bohdíkov,3809,Šumperk
324183,Alpská Víska,693693,Meziměstí,574252,Meziměstí,3605,Náchod
164399,Alšova,764264,Šumperk,523704,Šumperk,3809,Šumperk
119075,Alšovice,719072,Alšovice,563749,Pěnčín,3504,Jablonec nad Nisou
196070,Alžbětín,796077,Alžbětín,557528,Železná Ruda,3404,Klatovy
143154,Amálie,743178,Ruda u Nového Strašecí,542326,Ruda,3212,Rakovník
76376,Amalín,676390,Křivoklát,541982,Křivoklát,3212,Rakovník
150509,Amalín,750522,Ves Rudoltice,597813,Slezské Rudoltice,3801,Bruntál
333697,Amalín-chatová oblast,676390,Křivoklát,541982,Křivoklát,3212,Rakovník
328316,Amerika,627445,Dobrošov,573868,Náchod,3605,Náchod
53244,Amerika,653250,Chotěvice,579319,Chotěvice,3610,Trutnov
67351,Amerika,667366,Koblov,554821,Ostrava,3807,Ostrava-město
117510,Amerika,717525,Pamětice na Moravě,582191,Pamětice,3701,Blansko
42391,Amerika,642410,Prostřední Bludovice,598178,Horní Bludovice,3803,Karviná
174432,Amerika,774499,Unhošť,533017,Unhošť,3203,Kladno
175404,Amerika,775274,Ústí nad Orlicí,579891,Ústí nad Orlicí,3611,Ústí nad Orlicí
179213,Amerika,779091,Velké Meziříčí,597007,Velké Meziříčí,3714,Žďár nad Sázavou
322385,Amerika,785041,Votice,530905,Votice,3201,Benešov
173096,Amerika-Třešňovka,772984,Uherský Brod,592731,Uherský Brod,3711,Uherské Hradiště
12467,Anaklety,612405,Líšeň,582786,Brno,3702,Brno-město
337315,Anděl Strážce,603406,Bezděčín u Jablonce nad Nisou,563579,Frýdštejn,3504,Jablonec nad Nisou
197891,Andělice,628379,Svrčovec,556106,Dolany,3404,Klatovy
329,Andělka,600326,Andělka,564494,Višňová,3505,Liberec
361,Andělská Hora,600369,Andělská Hora,538001,Andělská Hora,3403,Karlovy Vary
